laser_image,pixel_x,pixel_y,Xc_mm,Yc_mm,Zc_mm
Laser2.png,2993.0,1530.8641357421875,1.6764262861042194,-1.7170847598560952,97.78588463574013
Laser2.png,2994.0,1530.6566162109375,1.6808255898523121,-1.7180059844503028,97.78607924530077
Laser2.png,2995.0,1530.5748291015625,1.6852302972499547,-1.7183764457811415,97.78658638985496
Laser2.png,2996.0,1528.129638671875,1.6895333881185604,-1.729096767970185,97.78122041185225
Laser2.png,2997.0,1528.421630859375,1.6939540106670112,-1.7278306429941457,97.78265622725742
Laser2.png,2998.0,1528.288330078125,1.6983564067637178,-1.728426911151329,97.78303522033241
Laser2.png,2999.0,1528.2275390625,1.7027619767464512,-1.7287054482446074,97.7835945216306
Laser2.png,3000.0,1528.1258544921875,1.7071658212953789,-1.7291632341665646,97.78405211216021
Laser2.png,3001.0,1528.1226806640625,1.711573993333884,-1.7291894989025403,97.7847545880739
Laser2.png,3002.0,1527.3175048828125,1.7159472543850622,-1.7327277986634368,97.78346405795372
Laser2.png,3003.0,1526.9254150390625,1.7203384588160053,-1.7344572310001796,97.78320001596794
Laser2.png,3004.0,1526.40380859375,1.724723963110062,-1.7367537522787657,97.78261415267043
Laser2.png,3005.0,1526.2008056640625,1.729123414884086,-1.7376551504188849,97.78282000534395
Laser2.png,3006.0,1526.27978515625,1.7335353065045127,-1.737321921924907,97.78372650987853
Laser2.png,3007.0,1526.3924560546875,1.7379489521652507,-1.7368410053209906,97.78471687084485
Laser2.png,3008.0,1527.23388671875,1.7423947741189778,-1.7331688442637883,97.78751826983378
Laser2.png,3009.0,1527.728271484375,1.7468256256639942,-1.7310163538855632,97.78945730974777
Laser2.png,3010.0,1529.38525390625,1.7513084007053328,-1.723772052397523,97.79428605840796
Laser2.png,3011.0,1529.5872802734375,1.7557266905695585,-1.7228995769644555,97.79549874314239
Laser2.png,3012.0,1529.8553466796875,1.7601480431131422,-1.7217379651574578,97.79687553737264
Laser2.png,3013.0,1529.744384765625,1.7645523388364392,-1.722236361458364,97.79731022147625
Laser2.png,3014.0,1530.08349609375,1.768976910543986,-1.7207634113944064,97.79886371385517
Laser2.png,3015.0,1530.148193359375,1.7733894360497748,-1.7204923785783006,97.79973512740906
Laser2.png,3016.0,1530.9404296875,1.7778349152946633,-1.7170347327700135,97.80241508473372
Laser2.png,3017.0,1530.9156494140625,1.7822434435551002,-1.7171556122444047,97.8030640797883
Laser2.png,3018.0,1530.6617431640625,1.786641807814208,-1.7182801007265867,97.80314351728182
Laser2.png,3019.0,1531.076171875,1.7910704213914839,-1.7164772675620579,97.8048843354985
Laser2.png,3020.0,1531.7198486328125,1.7955098400394622,-1.7136699855745647,97.8071952908159
Laser2.png,3021.0,1532.138916015625,1.7999391905687103,-1.7118466119443978,97.80894785201245
Laser2.png,3022.0,1532.4786376953125,1.8043650620390486,-1.7103706161182868,97.81050327937987
Laser2.png,3023.0,1532.5162353515625,1.8087771821960008,-1.7102181600777089,97.8113075289534
Laser2.png,3024.0,1533.2322998046875,1.8132206457889326,-1.7070935741505104,97.81379869254762
Laser2.png,3025.0,1533.8170166015625,1.8176582676773545,-1.7045441649798654,97.81596343521092
Laser2.png,3026.0,1534.1387939453125,1.822083724008494,-1.7031466081719364,97.81747440941173
Laser2.png,3027.0,1534.802001953125,1.8265255361403914,-1.7002531295172456,97.8198345295841
Laser2.png,3028.0,1534.8939208984375,1.8309406049541583,-1.6998625938992558,97.82077397902916
Laser2.png,3029.0,1535.20751953125,1.8353662845041427,-1.6985008021257153,97.82226475150233
Laser2.png,3030.0,1535.5032958984375,1.8397912649377446,-1.6972170968030766,97.82371122410176
Laser2.png,3031.0,1535.577880859375,1.8442060060504726,-1.696902480642983,97.82460766033081
Laser2.png,3032.0,1535.646484375,1.84862054744217,-1.6966140222181028,97.82548926240719
Laser2.png,3033.0,1535.5,1.8530248509101304,-1.6972681706599628,97.82583581364912
Laser2.png,3034.0,1535.5902099609375,1.8574405481490535,-1.6968849809642863,97.8267712085835
Laser2.png,3035.0,1535.6734619140625,1.8618559984516745,-1.696532459095627,97.82768920959512
Laser2.png,3036.0,1535.708251953125,1.8662692337887181,-1.6963921326334552,97.82848677698097
Laser2.png,3037.0,1535.4488525390625,1.8706683643858837,-1.697541075343624,97.82855250147674
Laser2.png,3038.0,1534.54931640625,1.8750371669563193,-1.7014949377515571,97.82702609497736
Laser2.png,3039.0,1533.1224365234375,1.8793804552221882,-1.7077590345816676,97.82418826411025
Laser2.png,3040.0,1532.3826904296875,1.883756396060061,-1.7110125402853873,97.82305932402875
Laser2.png,3041.0,1531.9737548828125,1.8881482995888383,-1.7128165222288003,97.82275321106297
Laser2.png,3042.0,1531.2711181640625,1.892525862173412,-1.7159071914909556,97.82171667774105
Laser2.png,3043.0,1530.7554931640625,1.8969125325707556,-1.7181785700051135,97.82114523152202
Laser2.png,3044.0,1530.271240234375,1.9013004856662183,-1.7203124535876562,97.82065179710762
Laser2.png,3045.0,1529.889404296875,1.9056935389498975,-1.7219976576134373,97.8204130830773
Laser2.png,3046.0,1529.8143310546875,1.910101468262097,-1.722338864629418,97.82093730581802
Laser2.png,3047.0,1529.75927734375,1.9145104169056675,-1.7225925797081199,97.82151120274234
Laser2.png,3048.0,1529.819580078125,1.9189250463235366,-1.7223408037917487,97.82237206192814
Laser2.png,3049.0,1529.8779296875,1.9233396588039027,-1.7220975025763368,97.82322812285169
Laser2.png,3050.0,1530.2745361328125,1.9277711091590235,-1.7203723061958096,97.82492547103682
Laser2.png,3051.0,1530.636474609375,1.9322008271941535,-1.7187989603552152,97.82653661096634
Laser2.png,3052.0,1530.607421875,1.9366114392852072,-1.7189386453080677,97.82717530382688
Laser2.png,3053.0,1530.977294921875,1.9410417970198859,-1.7173304181648092,97.82880628583636
Laser2.png,3054.0,1531.01611328125,1.9454561087267113,-1.7171727590544863,97.8296138362552
Laser2.png,3055.0,1531.23046875,1.9498790134874995,-1.7162459388419238,97.83085802357998
Laser2.png,3056.0,1531.4581298828125,1.9543026937132957,-1.7152606355442233,97.832135430415
Laser2.png,3057.0,1530.383544921875,1.9586616337091838,-1.719981343981961,97.83017349043178
Laser2.png,3058.0,1530.4617919921875,1.9630779387653403,-1.7196508579148722,97.83107916132755
Laser2.png,3059.0,1529.6204833984375,1.9674483249662027,-1.7233493672269216,97.82969750698715
Laser2.png,3060.0,1528.8089599609375,1.971820080317534,-1.7269173346309636,97.82838994407213
Laser2.png,3061.0,1527.180908203125,1.9761505128087942,-1.7340622099585214,97.82505162265649
Laser2.png,3062.0,1526.878662109375,1.98054758703542,-1.7353989310377405,97.8250107559931
Laser2.png,3063.0,1526.6292724609375,1.9849473279690653,-1.7365038431767537,97.82510149500834
Laser2.png,3064.0,1526.9351806640625,1.989375343785491,-1.7351762848319643,97.82657327628482
Laser2.png,3065.0,1526.7689208984375,1.9937793755563904,-1.735917169368865,97.82687070270697
Laser2.png,3066.0,1528.0179443359375,1.998255522307284,-1.730457519241973,97.83068850746264
Laser2.png,3067.0,1527.899169921875,2.0026623667708665,-1.730990406014355,97.8311040894947
Laser2.png,3068.0,1527.967529296875,2.0070786168360506,-1.730703318141431,97.83198519407964
Laser2.png,3069.0,1528.3212890625,2.0115097245333855,-1.7291659327743891,97.83357621150442
Laser2.png,3070.0,1528.9720458984375,2.015956201570013,-1.7263270943770934,97.83590617198115
Laser2.png,3071.0,1529.2537841796875,2.020383748409622,-1.725105148172963,97.8373181151094
Laser2.png,3072.0,1529.775146484375,2.0248239452479493,-1.7228330362015956,97.8393263650153
Laser2.png,3073.0,1530.26953125,2.0292629304590046,-1.7206792008650769,97.84126748957385
Laser2.png,3074.0,1530.598876953125,2.033693558710505,-1.7192483307735547,97.84279815609763
Laser2.png,3075.0,1531.1580810546875,2.038136236703496,-1.716810316009245,97.84490068774367
Laser2.png,3076.0,1531.5401611328125,2.04256990825387,-1.71514816666795,97.84656272149718
Laser2.png,3077.0,1532.069580078125,2.047011398102856,-1.7128404452190846,97.8485913318418
Laser2.png,3078.0,1532.5189208984375,2.0514488958205535,-1.7108834604435101,97.85042082421106
Laser2.png,3079.0,1532.63623046875,2.055869197941505,-1.7103817355974744,97.8514240429582
Laser2.png,3080.0,1532.46484375,2.0602742831435688,-1.7111451113519414,97.85170891389281
Laser2.png,3081.0,1532.4305419921875,2.0646867726705764,-1.7113078832044533,97.85233484828191
Laser2.png,3082.0,1532.3841552734375,2.069098683765596,-1.7115235357197707,97.85293076541825
Laser2.png,3083.0,1532.0888671875,2.073497341418006,-1.7128299670188156,97.85290729624133
Laser2.png,3084.0,1531.743896484375,2.0778935533626366,-1.7143542253335544,97.85276016917997
Laser2.png,3085.0,1531.1158447265625,2.0822745795518727,-1.717119005058239,97.85190860779207
Laser2.png,3086.0,1530.3719482421875,2.086649565480651,-1.7203913716468875,97.85076883967258
Laser2.png,3087.0,1528.3509521484375,2.0909561737886015,-1.7292600830514968,97.8464511891001
Laser2.png,3088.0,1527.9622802734375,2.095349739213827,-1.730975843721073,97.84619526758539
Laser2.png,3089.0,1527.453369140625,2.0997368634576703,-1.7332182919021,97.84564026577875
