X,Y
173.0,2238.375244140625
174.0,2238.40966796875
175.0,2238.424072265625
176.0,2238.6748046875
177.0,2238.693603515625
178.0,2238.77099609375
179.0,2238.794677734375
180.0,2238.835693359375
181.0,2238.90478515625
182.0,2238.717529296875
183.0,2238.6787109375
184.0,2238.67919921875
185.0,2238.369140625
186.0,2238.712646484375
187.0,2238.62353515625
188.0,2238.505615234375
189.0,2238.419189453125
190.0,2238.31103515625
191.0,2238.166748046875
192.0,2238.146240234375
193.0,2238.095458984375
194.0,2238.131591796875
195.0,2238.200927734375
196.0,2238.31396484375
197.0,2238.486328125
198.0,2238.6337890625
199.0,2238.619140625
200.0,2239.01806640625
201.0,2239.19580078125
202.0,2239.546875
203.0,2239.669921875
204.0,2239.701904296875
205.0,2239.7490234375
206.0,2239.988037109375
207.0,2239.642822265625
208.0,2239.260986328125
209.0,2239.1455078125
210.0,2238.98876953125
211.0,2238.795654296875
212.0,2238.351806640625
213.0,2238.315673828125
214.0,2237.785400390625
215.0,2237.52099609375
216.0,2237.268310546875
217.0,2237.09814453125
218.0,2236.966796875
219.0,2237.17724609375
220.0,2237.48291015625
221.0,2237.587890625
222.0,2237.76220703125
223.0,2237.90576171875
224.0,2238.051513671875
225.0,2237.94287109375
226.0,2237.9365234375
227.0,2237.9541015625
228.0,2237.91796875
229.0,2237.853271484375
230.0,2237.492431640625
231.0,2237.352294921875
232.0,2237.30517578125
233.0,2237.224853515625
234.0,2237.1572265625
235.0,2236.999755859375
236.0,2237.06982421875
237.0,2237.3408203125
238.0,2237.45556640625
239.0,2237.537109375
240.0,2237.5908203125
241.0,2237.832275390625
242.0,2237.5546875
243.0,2237.547607421875
244.0,2237.661376953125
245.0,2237.654541015625
246.0,2237.68212890625
247.0,2237.65234375
248.0,2237.933837890625
249.0,2237.798583984375
250.0,2237.8876953125
251.0,2237.97705078125
252.0,2237.712890625
253.0,2237.97412109375
254.0,2237.97216796875
255.0,2237.712158203125
256.0,2237.661376953125
257.0,2237.435546875
258.0,2237.46533203125
259.0,2237.4765625
260.0,2237.572021484375
261.0,2237.5947265625
262.0,2237.902099609375
263.0,2238.472900390625
264.0,2238.614013671875
265.0,2238.93994140625
266.0,2239.03271484375
267.0,2239.35693359375
268.0,2239.174072265625
269.0,2239.2109375
270.0,2239.219482421875
271.0,2239.198974609375
272.0,2238.91357421875
273.0,2238.8349609375
274.0,2238.739013671875
275.0,2238.6416015625
276.0,2238.5380859375
277.0,2238.70263671875
278.0,2238.63134765625
279.0,2238.613525390625
280.0,2238.591064453125
281.0,2238.64306640625
282.0,2238.939697265625
283.0,2238.753662109375
284.0,2238.787353515625
285.0,2238.81103515625
286.0,2238.79296875
287.0,2238.549072265625
288.0,2238.498291015625
289.0,2238.493408203125
290.0,2238.448974609375
291.0,2238.187255859375
292.0,2238.453369140625
293.0,2238.497314453125
294.0,2238.77880859375
295.0,2239.097900390625
296.0,2239.010498046875
297.0,2239.37353515625
298.0,2239.46533203125
299.0,2239.77001953125
300.0,2239.75341796875
301.0,2239.708251953125
302.0,2239.554443359375
303.0,2239.130859375
304.0,2238.8291015625
305.0,2238.43505859375
306.0,2238.199951171875
307.0,2237.664306640625
308.0,2237.57177734375
309.0,2237.5986328125
310.0,2237.63623046875
311.0,2237.7255859375
312.0,2237.78857421875
313.0,2238.135498046875
314.0,2238.510498046875
315.0,2238.359130859375
316.0,2238.451416015625
317.0,2238.59814453125
318.0,2238.650390625
319.0,2238.753173828125
320.0,2238.887939453125
321.0,2239.008544921875
322.0,2239.13037109375
323.0,2239.49365234375
324.0,2240.107177734375
325.0,2240.144287109375
326.0,2240.12353515625
327.0,2240.081298828125
328.0,2239.727294921875
329.0,2239.64599609375
330.0,2239.791015625
331.0,2239.7099609375
332.0,2239.650634765625
333.0,2239.587158203125
334.0,2239.340087890625
335.0,2239.344970703125
336.0,2239.305908203125
337.0,2239.579345703125
338.0,2239.43115234375
339.0,2239.5185546875
340.0,2239.65283203125
341.0,2239.759033203125
342.0,2239.89111328125
343.0,2239.950927734375
344.0,2239.98828125
345.0,2239.779541015625
346.0,2239.717041015625
347.0,2239.625
348.0,2239.302490234375
349.0,2239.163330078125
350.0,2238.81982421875
